#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap
Bitcoin Cash,BCH,117.65,0.0,2.5,1.2,494276558.0,2257715850.0
Terra Luna Classic,LUNC,0.000314656216,1.4,3.5,1.7,843233173.0,2172349386.0
Quant,QNT,140.67,1.7,7.1,17.0,60084710.0,1892836139.0
Flow,FLOW,1.7,0.2,3.8,1.9,27788032.0,1756148841.0
VeChain,VET,0.023770493812,0.2,4.3,4.9,56359076.0,1722667171.0
ApeCoin,APE,5.25,0.3,4.8,4.7,133909604.0,1648650264.0
Filecoin,FIL,5.58,0.2,2.7,1.8,88194324.0,1634068651.0
Internet Computer,ICP,6.11,0.3,2.5,2.0,31110262.0,1601676072.0
Chain,XCN,0.072605316728,1.0,4.9,1.0,12747408.0,1553644218.0
Hedera,HBAR,0.058179248977,0.8,2.1,3.2,31087324.0,1416273382.0
Frax,FRAX,0.999356,0.2,0.1,0.1,12898680.0,1356750897.0
Tezos,XTZ,1.45,0.3,3.4,1.7,30829847.0,1308855161.0
Decentraland,MANA,0.703802,0.0,2.7,0.2,91645211.0,1274510570.0
The Sandbox,SAND,0.838965,0.1,3.0,2.2,133654860.0,1257521241.0
Elrond,EGLD,52.87,0.2,6.5,13.2,72001995.0,1247947375.0
EOS,EOS,1.19,0.0,1.8,1.0,147831850.0,1204819472.0
Chiliz,CHZ,0.215886,2.0,0.8,15.8,258413015.0,1154147458.0
Axie Infinity,AXS,12.76,0.2,3.5,2.2,45299769.0,1151629645.0
Aave,AAVE,77.1,0.1,4.5,1.2,97621840.0,1088267533.0
Theta Network,THETA,1.07,0.6,2.5,2.3,15675736.0,1070476855.0
Lido DAO,LDO,1.6,0.3,9.9,2.0,26177573.0,1054969665.0
cUSDC,CUSDC,0.022683181588,0.0,0.2,0.3,21.92,955201202.0
Bitcoin SV,BSV,48.76,0.2,0.8,5.0,14590820.0,935648534.0
Pax Dollar,USDP,0.998113,0.0,0.1,0.1,7893154.0,914950906.0
KuCoin,KCS,9.19,0.4,1.8,1.0,1311174.0,898410543.0
TrueUSD,TUSD,0.999274,0.1,0.0,0.0,74688956.0,885424474.0
eCash,XEC,4.0962024e-05,0.0,1.7,0.5,4821282.0,785817229.0
USDD,USDD,0.999319,0.0,0.1,0.1,47154401.0,783960157.0
IOTA,MIOTA,0.280547,0.2,1.5,10.2,12549267.0,778606864.0
Maker,MKR,840.46,0.8,6.9,17.0,55851150.0,758638204.0
BitTorrent,BTT,7.87074e-07,0.2,1.7,0.1,19284689.0,741492046.0
The Graph,GRT,0.099567964081,0.5,4.0,2.8,13902863.0,736720654.0
Zcash,ZEC,56.8,0.1,4.1,3.5,43835665.0,731587408.0
Tokenize Xchange,TKX,9.05,0.0,0.2,18.1,30302802.0,722887087.0
cDAI,CDAI,0.022122098793,0.1,0.2,0.4,8911.05,673503179.0
PancakeSwap,CAKE,4.67,0.5,1.8,1.2,46331970.0,650323183.0
Helium,HNT,4.91,0.2,0.1,5.1,9635942.0,635882735.0
Gate,GT,4.31,0.2,0.8,2.0,2168602.0,626934569.0
NEO,NEO,8.78,0.2,2.6,4.9,22719697.0,619145519.0
Klaytn,KLAY,0.189162,0.4,1.4,7.6,13049523.0,578185910.0
Radix,XRD,0.057760111225,0.0,2.2,1.0,528919.0,577404501.0
Fantom,FTM,0.226685,0.1,2.8,0.7,104691132.0,576325765.0
Celsius Network,CEL,1.34,0.2,0.5,8.9,6225074.0,565204253.0
cETH,CETH,27.13,0.8,4.6,1.8,18.64,556205784.0
Synthetix Network,SNX,2.31,0.2,3.0,0.3,42870093.0,553339453.0
Huobi,HT,4.07,0.4,1.3,7.9,8370635.0,532875807.0
BitDAO,BIT,0.483489,0.3,1.5,2.8,15904282.0,519935361.0
PAX Gold,PAXG,1698.47,0.2,2.4,5.0,8206852.0,514424078.0
Osmosis,OSMO,1.11,0.3,4.1,6.0,7639318.0,506427745.0
THORChain,RUNE,1.65,0.5,9.1,3.4,78726540.0,496479610.0
NEXO,NEXO,0.87878,0.5,0.3,4.4,3956750.0,492116565.0
Arweave,AR,9.57,0.0,4.5,1.4,10737167.0,479489536.0
Zilliqa,ZIL,0.031669608468,0.3,3.3,0.4,30056908.0,472267791.0
Evmos,EVMOS,1.51,1.0,0.1,20.3,2080369.0,472152466.0
Rocket Pool,RPL,24.65,0.3,4.2,1.7,1330880.0,464100039.0
Dash,DASH,42.01,0.1,3.9,1.1,52803657.0,460033822.0
Basic Attention,BAT,0.305027,0.2,3.8,1.6,19795115.0,456582751.0
Enjin Coin,ENJ,0.455682,0.1,3.1,2.1,23929205.0,455682097.0
Kava,KAVA,1.54,0.7,4.4,3.0,12053970.0,441999133.0
Terra,LUNA,2.62,0.0,7.6,3.5,206559299.0,435660182.0
Stacks,STX,0.323917,0.1,2.4,1.2,9250529.0,433233642.0
XDC Network,XDC,0.031153178386,0.6,1.5,8.5,3805834.0,429159957.0
Ravencoin,RVN,0.035841494914,0.1,1.8,4.3,17056173.0,420482704.0
Tether Gold,XAUT,1696.12,0.1,1.1,1.2,869291.0,417551848.0
DeFiChain,DFI,0.69697,0.0,2.5,7.5,2797247.0,415253292.0
Mina Protocol,MINA,0.594934,0.5,2.7,0.2,8758572.0,414263788.0
Compound,COMP,60.12,0.3,2.2,4.0,31653498.0,412434019.0
Ethereum Name Service,ENS,15.76,0.2,8.0,6.3,63519849.0,406349676.0
Reserve Rights,RSR,0.00942394116,0.7,5.4,22.6,102893077.0,398355121.0
